Keyword,Extracted Sentence
climate,"Climate activist Greta Thunberg, 16, addressed the U.N.'s Climate Action Summit in New York City on Monday."
climate,"But those numbers do not include tipping points, most feedback loops, additional warming hidden by toxic air pollution or the aspects of equity and climate justice."
climate,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018."
dare,"How dare you!
"
dare,"How dare you!

"
dare,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
dare,"Today that figure is already down to less than 350 gigatons
""How dare you pretend that this can be solved with just 'business as usual' and some technical solutions?"
billions,"They also rely on my generation sucking hundreds of billions of tons of your CO2 out of the air with technologies that barely exist.
"
thunberg,"Climate activist Greta Thunberg, 16, addressed the U.N.'s Climate Action Summit in New York City on Monday."
thunberg,"Here's the full transcript of Thunberg's speech, beginning with her response to a question about the message she has for world leaders.
"
growth,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
odds,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018."
solved,"Today that figure is already down to less than 350 gigatons
""How dare you pretend that this can be solved with just 'business as usual' and some technical solutions?"
say,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
say,"""You say you hear us and that you understand the urgency."
say,"And if you choose to fail us, I say: We will never forgive you.
"
chance,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
chance,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018."
emissions,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
emissions,"With today's emissions levels, that remaining CO2 budget will be entirely gone within less than 8 1/2 years.
"
feedback,"But those numbers do not include tipping points, most feedback loops, additional warming hidden by toxic air pollution or the aspects of equity and climate justice."
eternal,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
away,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
away,"""We will not let you get away with this."
right,"Right here, right now is where we draw the line."
come,Yet you all come to us young people for hope.
come,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
air,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
air,"But those numbers do not include tipping points, most feedback loops, additional warming hidden by toxic air pollution or the aspects of equity and climate justice."
air,"They also rely on my generation sucking hundreds of billions of tons of your CO2 out of the air with technologies that barely exist.
"
risk,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
risk,"""So a 50% risk is simply not acceptable to us — we who have to live with the consequences.
"
failing,"Because if you really understood the situation and still kept on failing to act, then you would be evil."
failing,"""You are failing us."
acceptable,"""Fifty percent may be acceptable to you."
acceptable,"""So a 50% risk is simply not acceptable to us — we who have to live with the consequences.
"
